"year","artists","name"
1998,"['Pras', ""Ol' Dirty Bastard"", 'Mýa']","Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa)"
1998,"['2Pac', 'Snoop Dogg']","2 Of Amerikaz Most Wanted"
1998,"['Billy Bragg', 'Wilco']","California Stars"
1998,"['JAY-Z', 'Amil', 'Ja Rule']","Can I Get A..."
1998,"['Jermaine Dupri', 'JAY-Z']","Money Ain't a Thang (feat. Jay-Z)"
1998,"['Gang Starr', 'Inspectah Deck']","Above The Clouds"
1998,"['Joan Sebastian', 'Alberto Vazquez']","Maracas"
1998,"['Franz Liszt', 'Jenő Jandó']","Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major"
1998,"['Whitney Houston', 'Mariah Carey']","When You Believe (with Mariah Carey) - from The Prince of Egypt"
1998,"['2Pac', 'Danny Boy']","I Ain't Mad At Cha"
1998,"['Ms. Lauryn Hill', 'Carlos Santana']","To Zion (feat. Carlos Santana)"
1998,"['2Pac', 'Roger', 'Dr. Dre']","California Love - Original Version"
1998,"['Hank Williams', 'Drifting Cowboys']","Hey, Good Lookin'"
1998,"['2Pac', 'Shock G', 'Money B']","I Get Around"
1998,"['Marty Stuart', 'Earl Scruggs', 'Clint Black', 'Joe Diffie', 'Merle Haggard', 'Emmylou Harris', 'Alison Krauss', 'Patty Loveless', 'Ricky Skaggs', 'Pam Tillis', 'Randy Travis', 'Travis Tritt', 'Dwight Yoakam']","Same Old Train"
1998,"['2Pac', 'Danny Boy', 'Syke', 'C-PO']","Picture Me Rollin'"
1998,"['George Michael', 'Aretha Franklin']","I Knew You Were Waiting (For Me)"
1998,"['Lil Keke', 'UGK']","Chunk up the Deuce"
1998,"['The LOX', 'DMX', ""Lil' Kim""]","Money, Power & Respect (feat. DMX & Lil' Kim)"
1998,"['Kurupt', 'Tray Dee', 'Slip Capone']","C-Walk"
1999,"['Perry Como', 'The Fontane Sisters', 'Mitchell Ayres & His Orchestra']","It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)"
1999,"['Dr. Dre', 'Snoop Dogg']","Still D.R.E."
1999,"['Dr. Dre', 'Eminem']","Forgot About Dre"
1999,"['Dr. Dre', 'Snoop Dogg']","The Next Episode"
1999,"['Dr. Dre', 'Hittman', 'Six-Two', 'Nate Dogg', 'Kurupt']","Xxplosive"
1999,"['Santana', 'Rob Thomas']","Smooth (feat. Rob Thomas)"
1999,"['JAY-Z', 'UGK']","Big Pimpin'"
1999,"['John Prine', 'Iris DeMent']","In Spite of Ourselves (feat. Iris DeMent)"
1999,"['Dr. Dre', 'Eminem', 'Xzibit']","What's The Difference"
1999,"[""Ol' Dirty Bastard"", 'Kelis', 'Rich Travali']","Got Your Money (feat. Kelis)"
1999,"['Mark Chesnutt', 'George Jones', 'Vince Gill', 'Patty Loveless', 'Garth Brooks', 'Clint Black', 'Alan Jackson', 'Travis Tritt', 'Joe Diffie', 'Pam Tillis', 'T. Graham Brown']","I Don't Need Your Rockin' Chair - Version w/special guests"
